Simulation Total Time;22973052
Total Number of Sensed Events by the WSN;259878
Number of Sensed Events by the WSN per Day
1;40558
2;40551
3;40620
4;40662
5;40540
6;20212
7;11913
8;11858
9;11295
10;1669
Nodes
Class Name; Name; Remaining Battery;Number of Received Messages;Number of Sent Messages;Number of Received Wake-up Messages;Number of Sent Wake-up Messages;Number of Received ACK Messages;Number of Enqueued Events; Number of Sensored Events; Time of Death
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node79;0;4251;10986;33899;10986;10986;0;6735;825396,987911
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node80;0;2196;8939;25920;8939;8939;0;6743;845146,182876
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node81;0;1934;8663;29656;8675;8663;0;6741;466172,153288
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node82;0;1849;8589;32574;8590;8589;0;6741;454155,091744
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node83;0;2162;8499;32920;8902;8499;0;6740;494466,301087
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node84;0;1783;8524;32491;8524;8524;0;6741;456390,515348
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node85;0;1894;8635;32885;8635;8635;0;6741;474448,121513
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node86;0;1953;8239;32683;8693;8239;0;6740;478893,503313
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node87;0;1890;8624;32946;8631;8624;0;6741;466395,843701
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node88;0;2036;8747;29060;8777;8747;0;6741;477198,519556
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node89;0;1116;7857;23577;7858;7857;0;6742;817837,916726
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node90;0;0;3924;15680;6744;3924;1;6744;1511311,216703
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node91;0;0;3873;19221;6741;3873;0;6741;823089,471266
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node92;0;0;3767;22072;6740;3767;1;6740;918768,986286
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node93;0;0;4068;22382;6741;4068;1;6741;888265,887
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node94;0;0;3779;22006;6740;3779;1;6740;913906,530298
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node95;0;0;3792;22116;6741;3792;1;6741;860730,888852
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node96;0;0;3816;22175;6741;3816;0;6741;862904,777997
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node97;0;0;3831;22113;6741;3831;1;6741;830824,076786
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node98;0;0;4007;19387;6741;4007;0;6741;829071,301043
eboracum.wsn.network.node.sensor.WakeUpWSNNode;Node99;0;0;3814;14599;6743;3814;1;6743;1575815,600278
Events
Class Name; Name; Type; Number of Produced Events; Number of Times Sensed
eboracum.wsn.event.StochasticPeriodicJumperEvent;E0_0;E0;11307091;0
Simulation Total Time;24202398
Total Number of Sensed Events by the WSN;262250
Number of Sensed Events by the WSN per Day
1;40446
2;40733
3;40577
4;40435
5;40645
6;20655
7;11739
8;11739
9;11849
10;3432
Nodes
